Source,Target
tarunsharma005,Zeenewshindi24
tarunsharma005,ndtv
tarunsharma005,indiatvnews
tarunsharma005,IBN7
tarunsharma005,PMOIndia
tarunsharma005,narendramodi
tarunsharma005,HardeepSPuri
tarunsharma005,BJP4Haryana
tarunsharma005,BJP4India
tarunsharma005,indiatvnews
tarunsharma005,Zeenewshindi24
tarunsharma005,IBN7
tarunsharma005,bptp_pf1
tarunsharma005,indiatvnews
tarunsharma005,ZeeNewsHindl
tarunsharma005,IBN7
tarunsharma005,payal_trustable
tarunsharma005,AyushVerma1
tarunsharma005,RahulGandhi
tarunsharma005,mlkhattar
tarunsharma005,mlkhattar
tarunsharma005,cmohry
tarunsharma005,rajeshnagarfbd
tarunsharma005,bptp_pf1
tarunsharma005,BptpParkFloor2
tarunsharma005,bptplimited
tarunsharma005,mlkhattar
tarunsharma005,cmohry
tarunsharma005,rajeshnagarfbd
tarunsharma005,HardeepSPuri
tarunsharma005,PMOIndia
tarunsharma005,narendramodi
tarunsharma005,mlkhattar
tarunsharma005,rajeshnagarfbd
tarunsharma005,bptplimited
tarunsharma005,bptp_pf1
tarunsharma005,BptpParkFloor2
tarunsharma005,SupriyaShrinate
tarunsharma005,RahulGandhi
tarunsharma005,HardeepSPuri
tarunsharma005,cmohry
tarunsharma005,mlkhattar
tarunsharma005,rajeshnagarfbd
tarunsharma005,cmohry
tarunsharma005,BJP4Haryana
tarunsharma005,mlkhattar
tarunsharma005,rajeshnagarfbd
tarunsharma005,narendramodi
tarunsharma005,JPNadda
tarunsharma005,BJP4India
tarunsharma005,BJP4Haryana
tarunsharma005,bptp_pf1
tarunsharma005,BptpParkFloor2
tarunsharma005,IAjitDoval_IND
dcemeterygirl,hvgoenka
dcemeterygirl,TajinderBagga
dcemeterygirl,RupinderSra
dcemeterygirl,timesofindia
dcemeterygirl,saikirankannan
dcemeterygirl,Birdman12369022
dcemeterygirl,wtfcsk
dcemeterygirl,Nisha_NPU
dcemeterygirl,ANI
dcemeterygirl,Birdman12369022
dcemeterygirl,wtfcsk
dcemeterygirl,Nisha_NPU
dcemeterygirl,ANI
dcemeterygirl,DrSyedKausarAl2
dcemeterygirl,iihtishamm
dcemeterygirl,wtfcsk
dcemeterygirl,Nisha_NPU
dcemeterygirl,ANI
dcemeterygirl,SouthAsiaIndex
dcemeterygirl,ndtv
dcemeterygirl,iihtishamm
dcemeterygirl,abid_turabi
dcemeterygirl,majorgauravarya
dcemeterygirl,majorgauravarya
