Source,Target
sanjuktaroyvai1,narendramodi
sanjuktaroyvai1,_sabanaqvi
sanjuktaroyvai1,swapan55
sanjuktaroyvai1,OfficialSauravD
sanjuktaroyvai1,SurenderMotiXi
sanjuktaroyvai1,MKSingh20
sanjuktaroyvai1,ARanganathan72
sanjuktaroyvai1,authoramish
sanjuktaroyvai1,MKSingh20
sanjuktaroyvai1,ARanganathan72
sanjuktaroyvai1,authoramish
sanjuktaroyvai1,liberal_slayerr
sanjuktaroyvai1,CivilZPagan
sanjuktaroyvai1,Saurabh62380401
sanjuktaroyvai1,iamkamyabuch
sanjuktaroyvai1,JainMaggii
sanjuktaroyvai1,liberal_slayerr
sanjuktaroyvai1,CivilZPagan
sanjuktaroyvai1,Saurabh62380401
sanjuktaroyvai1,iamkamyabuch
sanjuktaroyvai1,JainMaggii
sanjuktaroyvai1,nikaran_tn
sanjuktaroyvai1,minicnair
sanjuktaroyvai1,rational_folk
sanjuktaroyvai1,trkataria
sanjuktaroyvai1,tathagata2
sanjuktaroyvai1,ReallySwara
sanjuktaroyvai1,rational_folk
sanjuktaroyvai1,trkataria
sanjuktaroyvai1,tathagata2
sanjuktaroyvai1,ReallySwara
sanjuktaroyvai1,rational_folk
sanjuktaroyvai1,trkataria
sanjuktaroyvai1,tathagata2
sanjuktaroyvai1,ReallySwara
sanjuktaroyvai1,rational_folk
sanjuktaroyvai1,trkataria
sanjuktaroyvai1,tathagata2
sanjuktaroyvai1,ReallySwara
sanjuktaroyvai1,rational_folk
sanjuktaroyvai1,trkataria
sanjuktaroyvai1,tathagata2
sanjuktaroyvai1,ReallySwara
sanjuktaroyvai1,chinkis
sanjuktaroyvai1,rational_folk
sanjuktaroyvai1,trkataria
sanjuktaroyvai1,tathagata2
sanjuktaroyvai1,ReallySwara
sanjuktaroyvai1,ReallySwara
sanjuktaroyvai1,SumitkadeI
sanjuktaroyvai1,DeekshaNRaut
sanjuktaroyvai1,AITCSanghamitra
sanjuktaroyvai1,angshuman786
sanjuktaroyvai1,AITCSanghamitra
sanjuktaroyvai1,SagrikaKissu
sanjuktaroyvai1,AITCSanghamitra
